48.985,49.5889
48.7202,50.5533
49.6877,50.3004
48.985,49.5889
50.6231,51.2473
49.9203,50.5358
50.8878,50.2829
50.6231,51.2473
49.6902,50.306
49.4255,51.2704
48.7227,50.5589
49.6902,50.306
50.3986,51.02
49.4311,51.2729
49.6958,50.3086
50.3986,51.02
49.4681,48.8423
50.1675,49.5571
49.1988,49.8054
49.4681,48.8423
50.5698,48.7275
50.3037,49.6914
49.602,48.979
50.5698,48.7275
51.2802,49.4477
50.3127,49.7006
51.0155,50.412
51.2802,49.4477
50.5755,48.7301
51.2777,49.4421
50.31,49.6942
50.5755,48.7301
49.9103,50.5257
49.2076,49.8143
50.1751,49.5614
49.9103,50.5257
50.1801,49.5665
49.9153,50.5308
50.8828,50.2779
50.1801,49.5665
