20.0887,19.9251,19.9698
20.5507,19.3959,19.2581
19.5866,19.2255,19.4615
20.2912,18.9572,20.1184
20.0122,20.0923,19.9175
20.639,20.5405,19.2802
20.7476,20.6739,20.2653
19.9698,21.083,19.788
19.455,20.6924,20.665
19.6847,19.7933,21.0375
18.9609,19.8809,20.3531
19.9163,20.0162,20.0906
19.9974,20.0774,19.9027
20.3302,20.2326,18.9726
19.4082,20.523,19.2287
19.6198,19.5495,19.142
20.0569,19.9043,20.0555
20.9021,19.6002,20.495
20.019,19.2667,20.8249
20.3696,18.9615,19.9395
20.6646,20.6876,20.5515
20.0349,20.133,21.0953
20.8314,19.7082,20.6651
20.0675,20.0233,20.1019
19.6949,21.0382,19.7815
18.9822,20.4148,20.1034
19.6758,20.7526,20.7397
19.9274,20.0972,20.0275
21.0939,19.9904,19.8515
20.6796,19.1586,20.2211
20.551,19.396,19.2582
20.1025,19.9359,19.9705
20.5492,20.4499,19.1547
20.0494,19.9868,19.8866
19.8523,19.7686,18.9307
20.7182,19.4821,19.3408
20.9877,20.3674,19.6713
20.6367,20.7193,20.539
20.8449,19.746,20.4416
20.0592,20.1395,19.9643
18.9821,20.4146,20.1031
19.9127,20.0784,19.9585
19.3428,20.3251,19.1748
19.6946,21.038,19.7813
20.572,20.4741,19.2291
21.0964,20.1286,20.0074
20.1092,19.9754,19.9621
20.7197,19.4908,19.3356
20.2041,21.0061,19.5941
19.4083,20.5232,19.2288
20.3303,20.2329,18.9727
19.9975,20.0777,19.9028
19.4553,20.6924,20.6652
19.685,19.7932,21.0376
19.9798,20.0425,20.1152
20.4012,20.4793,20.9099
19.8918,19.9882,19.9396
19.3061,19.3585,19.4293
19.3427,20.3248,19.1747
18.8975,20.0487,20.0265
19.8881,19.9506,20.0229
18.9125,20.1479,20.1188
19.2103,19.2848,19.711
19.3392,19.4463,20.6894
20.0347,20.1328,21.0954
20.5983,19.4024,20.7096
19.6049,19.297,20.7538
20.0105,19.9485,20.1128
19.1949,19.2907,20.2597
19.3944,19.4133,19.2875
19.9391,19.8946,19.9742
20.03,18.9044,19.868
19.1949,19.2908,20.2599
20.0188,19.2682,20.8263
20.0413,18.9017,19.8961
19.9672,19.8881,20.0433
20.6582,20.6825,20.5654
20.0173,20.1116,20.0523
20.0573,21.096,19.8814
19.676,20.7527,20.7397
