data;

param nfigures := 5;
param npoints := 4;
param ndimensions := 3;

param tolerance :=0.0001;

var coords [*,*,1]
:      1         2         3         4       :=
1   22.2205   18.8453   21.1547   22.3919
2   18.9956   22.1581   18.8453   21.1547
3   18.8453   18.9518   21.1547   17.1738
4   22.3391   18.8453   21.1547   19.2805
5   21.1547   19.2203   18.8453   17.1768

 [*,*,2]
:      1         2         3         4       :=
1   20.4069   18.8453   21.1547   17.4967
2   22.792    20.5043   18.8453   21.1547
3   18.8453   22.7992   21.1547   21.3156
4   17.4533   18.8453   21.1547   17.9908
5   21.1547   18.0352   18.8453   21.2633

 [*,*,3]
:      1         2         3         4       :=
1   17.3725   18.8453   21.1547   20.1114
2   18.2123   17.3376   18.8453   21.1547
3   18.8453   18.249    21.1547   21.5106
4   20.2076   18.8453   21.1547   22.7287
5   21.1547   22.7444   18.8453   21.5599
;

var r = 3.46411;

param distances :=
[1,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0			
			
[2,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	

[3,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0			
			
[4,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0	
				
[5,*,*]:			1		2		3		4 :=
				1	0		4		0		4		
				2	0		0		4		4		
				3	4		0		0		4		
				4	4		4		4		0				
;
